Sample	Coding	UTR	Intronic	Intergenic	Ribosomal	PF not aligned
17-004-CER	265658095.0	300743007.0	2952941412.0	2146661036.0	22560701.0	390046729.0
17-004-GTS	129497697.0	239569423.0	3081950996.0	2291034907.0	5551402.0	329180324.0
17-004-SVZ	1029846626.0	833456505.0	4450541749.0	2964881146.0	78686064.0	557123046.0
17-005-CER	4850217589.0	2774494782.0	3126573133.0	1105594297.0	654724469.0	703680143.0
17-005-GFM	2981348424.0	1639256435.0	1124442819.0	497045133.0	171289607.0	226590950.0
17-005-GTS	3984043365.0	2483161217.0	3104504519.0	728208692.0	177797992.0	350614120.0
17-005-SVZ	4761240489.0	2751842735.0	3048367935.0	936745258.0	214894202.0	386048330.0
17-005-THA	2789829436.0	1652154393.0	3161131898.0	1799232296.0	144448163.0	442777567.0
17-009-GFM	1415781455.0	1026063558.0	2931883043.0	1353334466.0	87788936.0	272670155.0
17-009-GTS	569284623.0	507415010.0	3440616552.0	2343477663.0	35794201.0	333142834.0
17-009-SVZ	4135958805.0	2443682700.0	3483979761.0	887373946.0	196064329.0	309066733.0
17-009-THA	9795736078.0	6239708878.0	5809466561.0	1747138456.0	583755975.0	721681228.0
17-012-GFM	1055371900.0	715289740.0	2349269116.0	1388481148.0	178022416.0	329673566.0
17-012-SVZ	3235952104.0	2069297261.0	3221813830.0	1018118967.0	209267682.0	327081489.0
17-012-THA	1871840397.0	1164811769.0	1556055461.0	554012513.0	166643303.0	206038640.0
17-013-GFM	1336757925.0	1056329872.0	6032570304.0	4403024752.0	218915147.0	820649821.0
17-013-GTS	1715887277.0	1314400729.0	3294370427.0	1715868850.0	207098966.0	627758096.0
17-013-SVZ	2062837302.0	1292964267.0	3156428482.0	1953351117.0	107489020.0	418492163.0
17-013-THA	2565061003.0	1613231828.0	3785544704.0	2032383411.0	234929293.0	542276433.0
17-015-CER	1318156866.0	889490746.0	3204367834.0	1958400647.0	283073715.0	889894268.0
17-015-GFM	1208320117.0	904494554.0	3348882135.0	2013277230.0	135848214.0	367351226.0
17-015-GTS	2285540706.0	1638819980.0	3411051090.0	1465685297.0	244312022.0	405189607.0
17-015-SVZ	3089242091.0	1845309858.0	2597492694.0	1110897673.0	237589327.0	309847126.0
17-015-THA	2324572537.0	1524618150.0	2995835579.0	1596824802.0	320942800.0	484598716.0
17-016-CER	1465110802.0	1004257722.0	2254613513.0	1117138038.0	282074272.0	710355632.0
17-016-GFM	2321469349.0	1355128979.0	1486161778.0	1019717962.0	526146267.0	603756329.0
17-016-GTS	4207872763.0	2655468263.0	2775338748.0	940573805.0	375754307.0	540768260.0
17-016-SVZ	5154527679.0	3194418661.0	6966147101.0	4252706161.0	228303547.0	896615994.0
17-016-THA	2653285209.0	1712314127.0	2438679709.0	947074385.0	235675088.0	378166429.0
17-017-GFM	2976819104.0	2226316372.0	4826499844.0	2830307817.0	449149422.0	1076954566.0
17-017-GTS	408241031.0	533470426.0	7137350059.0	5732765947.0	57465217.0	1055129698.0
17-017-SVZ	1139476329.0	828859896.0	3543044900.0	2521339514.0	105361453.0	468018838.0
17-017-THA	1789864898.0	1113099022.0	2130154893.0	1315773052.0	379832371.0	531784384.0
17-029-GFM	2251857121.0	1413315500.0	2336811741.0	968482207.0	249248954.0	335045697.0
17-029-GTS	1639625871.0	950673955.0	1846404013.0	1288659293.0	648383547.0	839118297.0
17-029-SVZ	1869798793.0	1163115598.0	1918389944.0	1344742612.0	200891842.0	328939242.0
17-029-THA	2639177265.0	1605675394.0	3957571132.0	2637665149.0	598633971.0	673217321.0
17-032-GTS	2733624982.0	1974735056.0	2853967869.0	1609077878.0	405105113.0	403571844.0
17-032-SVZ	2471679991.0	1696242042.0	3108154340.0	1270696973.0	229541143.0	365082195.0
17-032-THA	2075290452.0	1498595198.0	1966153023.0	799808438.0	280014935.0	290773334.0
17-074-GFM	1501452434.0	1165095994.0	4214696643.0	2532325344.0	94391733.0	490095184.0
17-074-GTS	776441214.0	645664108.0	3167925034.0	2028162669.0	57802121.0	326804657.0
17-074-THA	2775562668.0	1808825342.0	6118659169.0	4146172132.0	205027880.0	737648803.0
17-078-GFM	4698588472.0	2822781160.0	2407097506.0	641280079.0	214862278.0	392947678.0
17-078-GTS	2719609167.0	1761128867.0	1875723273.0	671704113.0	503234405.0	341398317.0
17-078-SVZ	3408649747.0	1789953989.0	840185522.0	370857394.0	67546086.0	203585255.0
17-078-THA	2183937105.0	1317371401.0	1090470934.0	602840344.0	290595456.0	267248358.0
17-092-GFM	3669923534.0	1905828553.0	1904969424.0	428329550.0	1054100835.0	904165692.0
17-092-GTS	1413906745.0	207924611.0	144219441.0	171727150.0	1242161590.0	1393427151.0
17-092-SVZ	2179051859.0	1529855872.0	1715973005.0	627445313.0	131988961.0	282397413.0
17-092-THA	2662278648.0	1078878996.0	741923585.0	297302657.0	995260963.0	1104651960.0
17-094-GFM	2072354502.0	1454922981.0	3337129750.0	1167958241.0	100227123.0	300418050.0
17-094-GTS	2722246812.0	1822873562.0	3326054001.0	975641063.0	155110825.0	345543188.0
17-094-SVZ	1680027162.0	1066795451.0	2042379425.0	685184223.0	60846239.0	200300626.0
17-094-THA	1474451956.0	1028936031.0	2480816137.0	1080489834.0	92275240.0	252723328.0
17-097-GFM	8112520941.0	4924003354.0	4021587136.0	944638741.0	117336826.0	508558053.0
17-097-GTS	4014081060.0	2357084589.0	1552231052.0	398135016.0	106105737.0	302476095.0
17-097-SVZ	5309246701.0	3144935081.0	2403764134.0	981417022.0	221500330.0	364598460.0
17-099-GFM	2875302413.0	1856690639.0	1593950947.0	620921836.0	158001352.0	230035684.0
17-099-GTS	3423309307.0	2197183333.0	1759210490.0	812325344.0	269252990.0	275721661.0
17-099-SVZ	5312519419.0	2883709016.0	1872083505.0	912609714.0	438519777.0	394096015.0
17-099-THA	6040320700.0	3058508823.0	1181024115.0	439463716.0	320943351.0	498611101.0
17-102-GFM	3842976794.0	1851215271.0	810205326.0	191029862.0	81453800.0	178770123.0
17-102-GTS	5258302144.0	3429697469.0	1841304832.0	586147493.0	388375343.0	801701393.0
17-102-THA	5862633082.0	2948027697.0	1226511581.0	230320949.0	185589383.0	299238384.0
17-121-GFM	1854507579.0	1050425762.0	950500996.0	501337042.0	537806516.0	606874506.0
17-121-GTS	1530809078.0	751931859.0	742141860.0	439457098.0	745593971.0	957112373.0
17-121-SVZ	9707071337.0	5964798413.0	3792545310.0	2119367797.0	793133649.0	934108061.0
17-124-GFM	5155206223.0	2949449533.0	2124651251.0	638722604.0	166155468.0	366601526.0
17-124-GTS	2639316479.0	1783044551.0	1971542657.0	798731796.0	183268605.0	306326637.0
17-124-SVZ	2710864706.0	1434859439.0	842052764.0	388444662.0	123104114.0	183151865.0
17-124-THA	2700713568.0	1657543736.0	1582354797.0	619289202.0	127795355.0	226725832.0
17-128-GFM	1937017980.0	888615375.0	816843939.0	492909626.0	443367519.0	607803684.0
17-128-SVZ	8609858237.0	4939320183.0	2567757143.0	864532368.0	486791573.0	883148964.0
17-128-THA	3326067199.0	1774838889.0	800362116.0	153929203.0	148805794.0	223448777.0
17-136-GFM	2350390331.0	1505774600.0	1820542266.0	1213001915.0	352192888.0	719831961.0
17-136-GTS	2423415743.0	1371304386.0	1579873085.0	1208854831.0	695363920.0	590900849.0
17-136-SVZ	2584075419.0	1465925661.0	2069297467.0	1595598432.0	395593049.0	367476021.0
17-136-THA	2785213787.0	1642234254.0	2048563912.0	1691809342.0	707447168.0	446569194.0
17-148-GTS	6670489959.0	3411823697.0	2301592883.0	381185294.0	352731760.0	429094112.0
17-148-SVZ	4098282431.0	1905408775.0	617902522.0	482057681.0	189381340.0	212331112.0
17-148-THA	5208712794.0	2603350027.0	1637931879.0	834811442.0	375800031.0	310328164.0
18-010-GFM	448277429.0	445944651.0	4373633550.0	3109720740.0	15030194.0	490581704.0
18-010-GTS	1880093678.0	1265743743.0	4405356924.0	2493377327.0	71846400.0	414552751.0
18-010-SVZ	588749794.0	533431136.0	4371644190.0	3157866618.0	25301147.0	456814152.0
18-010-THA	3907895232.0	2134080592.0	2973343333.0	791656002.0	128605842.0	288088219.0
18-012-GFM	1569484222.0	300214490.0	602246322.0	620115340.0	1339163346.0	1366471409.0
18-012-GTS	1929691111.0	298442501.0	541307944.0	474555014.0	1778009092.0	1083816991.0
18-012-SVZ	1816852648.0	868060571.0	1588692527.0	1144234716.0	771875124.0	526248195.0
18-012-THA	1109832708.0	280494476.0	1809289389.0	1481885848.0	597735293.0	1251649107.0
18-018-GFM	3069927624.0	1667013189.0	2171038767.0	1478812530.0	206625010.0	488916960.0
18-018-SVZ	5953107684.0	2935687206.0	1397601586.0	744777388.0	194407818.0	321530877.0
18-018-THA	3813646438.0	2372909058.0	762282635.0	421554569.0	539652531.0	332542952.0
18-021-GFM	2029032021.0	1176634091.0	2387601142.0	1548622069.0	226828761.0	352137479.0
18-021-GTS	1621280473.0	892563153.0	2357661212.0	1651237018.0	113048306.0	325335401.0
18-021-SVZ	1471300697.0	834192455.0	2326207356.0	1477899866.0	91678111.0	299242885.0
18-021-THA	2919062459.0	1400253435.0	1163247019.0	711528973.0	180483110.0	218587002.0
